2020-01-16 01:26:04 INFO  Log:12 - Pass : Element Scroll by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:09 INFO  Log:12 - Pass : Element clicked by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-page-controller .shopee-icon-button--left]
2020-01-16 01:26:09 INFO  Log:12 - Pass : Element Scroll by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:10 INFO  Log:12 - Pass : Element Scroll by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:12 INFO  Log:12 - Pass : Element Scroll by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:15 INFO  Log:12 - Pass : Element clicked by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-page-controller .shopee-icon-button--left]
2020-01-16 01:26:16 INFO  Log:12 - Pass : Element Scroll by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:17 INFO  Log:12 - Pass : Element Scroll by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:21 INFO  Log:12 - Pass : Element clicked by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-page-controller .shopee-icon-button--left]
2020-01-16 01:26:22 INFO  Log:12 - Pass : Element Scroll by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:23 INFO  Log:12 - Pass : Element Scroll by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:27 INFO  Log:12 - Pass : Element clicked by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-page-controller .shopee-icon-button--left]
2020-01-16 01:26:28 INFO  Log:12 - Pass : Element Scroll by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:29 INFO  Log:12 - Pass : Element Scroll by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:30 INFO  Log:12 - Pass : Element clicked by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:31 INFO  Log:12 - Pass : Element clicked by JS - [[FirefoxDriver: firefox on MAC (c6406928-4046-ed47-8205-6928b3f2ca90)] -> css selector: .crl7WW button[class='product-variation']]
2020-01-16 01:26:31 INFO  LocalWebDriverListener:78 - Renaming test method name from: 'feature' to: 'Tests Firefox browser - feature - firefox v:72.0.1 MAC'
